,DiDi Chuxing,driver,passenger,customer servicer,game,company,full text,platfrom,master,fast ride,phone,player,following wind,cellphone,order form,time,taxi,online taxi-hailing,rubbish,Beijing,video,hour,software,get on,car owner,system,condition,Shuttle transfer,,place,world,Liu Qing,user,function,friend,city
DiDI Chuxing,0,757,295,288,261,270,232,408,138,171,146,157,101,90,129,133,119,90,94,98,123,96,93,102,69,80,79,70,73,73,75,49,66,60,64,58
driver,757,0,229,159,1,134,140,208,68,89,103,0,35,57,90,63,58,39,52,32,48,58,44,72,23,36,51,24,51,5,34,23,39,17,20,39
passenger,295,229,0,56,0,72,74,90,24,39,42,0,23,24,44,33,20,20,17,10,20,28,19,31,29,17,27,14,22,3,15,13,9,12,7,20
customer servicer,288,159,56,0,0,54,59,105,21,51,82,0,16,28,46,31,9,4,31,9,9,37,18,18,17,29,33,13,14,1,34,6,14,7,4,22
game,261,1,0,0,0,1,7,59,0,0,0,133,0,5,0,14,0,0,1,0,2,1,0,0,0,11,0,0,5,42,0,4,6,2,8,1
company,270,134,72,54,1,0,38,73,10,30,30,0,11,9,21,20,24,25,30,13,8,10,13,7,29,13,21,11,10,4,10,6,9,4,11,16
full text,232,140,74,59,7,38,0,88,17,34,32,2,22,13,38,20,18,26,24,14,8,21,9,17,23,14,20,11,12,3,17,11,6,10,14,17
platform,408,208,90,105,59,73,88,0,38,53,71,43,29,38,50,47,24,43,13,34,24,38,16,46,17,29,39,14,26,23,38,19,18,27,29,31
master,138,68,24,21,0,10,17,38,0,11,17,0,4,14,18,8,14,4,8,8,14,5,8,20,2,4,6,4,10,2,8,1,5,3,5,4
fast ride,171,89,39,51,0,30,34,53,11,0,25,0,17,12,18,15,24,8,4,8,8,17,7,14,13,7,12,19,11,0,15,5,9,6,5,8
phone,146,103,42,82,0,30,32,71,17,25,0,0,13,25,32,26,9,3,11,9,3,22,12,17,15,13,17,9,6,3,12,4,13,3,4,12
player,157,0,0,0,133,0,2,43,0,0,0,0,0,4,0,10,0,0,0,0,1,1,0,0,0,4,0,0,2,27,0,2,2,1,5,1
following wind,101,35,23,16,0,11,22,29,4,17,13,0,0,4,9,18,12,12,7,12,7,10,7,8,12,7,4,9,2,3,10,7,2,16,15,4
cellphone,90,57,24,28,5,9,13,38,14,12,25,4,4,0,10,15,7,4,5,6,3,9,6,8,6,4,9,4,7,5,3,5,13,3,4,5
order form,129,90,44,46,0,21,38,50,18,18,32,0,9,10,0,22,10,7,14,3,1,10,10,16,16,13,14,6,18,3,9,4,5,5,4,13
time,133,63,33,31,14,20,20,47,8,15,26,10,18,15,22,0,11,7,3,11,2,13,14,11,11,8,8,5,8,2,10,7,2,6,8,9
taxi,119,58,20,9,0,24,18,24,14,24,9,0,12,7,10,11,0,11,5,6,8,5,14,12,5,3,11,11,7,1,1,7,3,5,11,3
online taxi-hailing,90,39,20,4,0,25,26,43,4,8,3,0,12,4,7,7,11,0,0,13,9,0,1,0,4,1,6,6,4,2,7,6,0,11,15,8
rubbish,94,52,17,31,1,30,24,13,8,4,11,0,7,5,14,3,5,0,0,3,1,7,19,1,6,6,3,2,5,0,1,1,3,2,1,2
Beijing,98,32,10,9,0,13,14,34,8,8,9,0,12,6,3,11,6,13,3,0,8,3,5,4,4,1,2,9,3,2,7,3,3,9,12,3
video,123,48,20,9,2,8,8,24,14,8,3,1,7,3,1,2,8,9,1,8,0,3,3,6,3,2,6,4,1,0,6,1,3,6,5,1
hour,96,58,28,37,1,10,21,38,5,17,22,1,10,9,10,13,5,0,7,3,3,0,6,5,9,7,6,6,7,0,10,4,3,3,0,3
software,93,44,19,18,0,13,9,16,8,7,12,0,7,6,10,14,14,1,19,5,3,6,0,6,7,6,8,8,8,1,0,5,7,3,2,2
get on,102,72,31,18,0,7,17,46,20,14,17,0,8,8,16,11,12,0,1,4,6,5,6,0,5,11,8,6,14,2,2,4,7,3,5,11
car owner,69,23,29,17,0,29,23,17,2,13,15,0,12,6,16,11,5,4,6,4,3,9,7,5,0,6,9,1,2,2,9,3,4,3,3,5
system,80,36,17,29,11,13,14,29,4,7,13,4,7,4,13,8,3,1,6,1,2,7,6,11,6,0,5,2,5,3,6,3,1,3,1,3
condition,79,51,27,33,0,21,20,39,6,12,17,0,4,9,14,8,11,6,3,2,6,6,8,8,9,5,0,4,10,2,7,2,3,6,5,7
Shuttle transfer,70,24,14,13,0,11,11,14,4,19,9,0,9,4,6,5,11,6,2,9,4,6,8,6,1,2,4,0,5,0,4,1,2,3,3,1
place,73,51,22,14,5,10,12,26,10,11,6,2,2,7,18,8,7,4,5,3,1,7,8,14,2,5,10,5,0,3,2,1,3,1,6,5
world,73,5,3,1,42,4,3,23,2,0,3,27,3,5,3,2,1,2,0,2,0,0,1,2,2,3,2,0,3,0,0,1,0,1,2,3
Liu Qing,75,34,15,34,0,10,17,38,8,15,12,0,10,3,9,10,1,7,1,7,6,10,0,2,9,6,7,4,2,0,0,2,2,7,6,4
user,49,23,13,6,4,6,11,19,1,5,4,2,7,5,4,7,7,6,1,3,1,4,5,4,3,3,2,1,1,1,2,0,1,8,4,0
function,66,39,9,14,6,9,6,18,5,9,13,2,2,13,5,2,3,0,3,3,3,3,7,7,4,1,3,2,3,0,2,1,0,2,3,3
friend,60,17,12,7,2,4,10,27,3,6,3,1,16,3,5,6,5,11,2,9,6,3,3,3,3,3,6,3,1,1,7,8,2,0,6,1
city,64,20,7,4,8,11,14,29,5,5,4,5,15,4,4,8,11,15,1,12,5,0,2,5,3,1,5,3,6,2,6,4,3,6,0,2
thing,58,39,20,22,1,16,17,31,4,8,12,1,4,5,13,9,3,8,2,3,1,3,2,11,5,3,7,1,5,3,4,0,3,1,2,0
